Movie Title ,Movie Rating
IMDb Charts,9.3
1. The Shawshank Redemption,Rate
2. The Godfather,9.2
3. The Dark Knight,Rate
4. The Godfather Part II,9.0
5. 12 Angry Men,Rate
6. Schindler's List,9.0
7. The Lord of the Rings: The Return of the King,Rate
8. Pulp Fiction,9.0
9. The Lord of the Rings: The Fellowship of the Ring,Rate
"10. The Good, the Bad and the Ugly",9.0
11. Forrest Gump,Rate
12. Fight Club,9.0
13. The Lord of the Rings: The Two Towers,Rate
14. Inception,8.9
15. Spider-Man: Across the Spider-Verse,Rate
16. Star Wars: Episode V - The Empire Strikes Back,8.8
17. The Matrix,Rate
18. GoodFellas,8.8
19. One Flew Over the Cuckoo's Nest,Rate
20. Se7en,8.8
21. It's a Wonderful Life,Rate
22. Shichinin no samurai,8.8
23. The Silence of the Lambs,Rate
24. Interstellar,8.8
25. Saving Private Ryan,Rate
26. Cidade de Deus,8.8
27. Life Is Beautiful,Rate
28. The Green Mile,8.9
29. Oppenheimer,Rate
30. Star Wars: Episode IV - A New Hope,8.7
31. Terminator 2: Judgment Day,Rate
32. Back to the Future,8.7
33. Spirited Away,Rate
34. The Pianist,8.7
35. Psycho,Rate
36. Parasite,8.7
37. Gladiator,Rate
38. The Lion King,8.6
39. Léon,Rate
40. American History X,8.6
41. The Departed,Rate
42. Whiplash,8.6
43. The Prestige,Rate
44. The Usual Suspects,8.6
45. Casablanca,Rate
46. Hotaru no haka,8.7
47. Harakiri,Rate
48. The Intouchables,8.6
49. Modern Times,Rate
50. Cinema Paradiso,8.6
51. Once Upon a Time in the West,Rate
52. Rear Window,8.6
53. Alien,Rate
54. City Lights,8.6
55. Apocalypse Now,Rate
56. Memento,8.7
57. Django Unchained,Rate
58. Indiana Jones and the Raiders of the Lost Ark,8.6
59. WALL·E,Rate
60. The Lives of Others,8.6
61. Sunset Blvd.,Rate
62. Paths of Glory,8.5
63. Avengers: Infinity War,Rate
64. The Shining,8.6
65. The Great Dictator,Rate
66. Witness for the Prosecution,8.5
67. Spider-Man: Into the Spider-Verse,Rate
68. Alien 2,8.5
69. American Beauty,Rate
70. The Dark Knight Rises,8.5
71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Rate
72. Inglourious Basterds,8.5
73. Oldeuboi,Rate
74. كوكو,8.5
75. Amadeus,Rate
76. Toy Story,8.5
77. Braveheart,Rate
78. Das Boot,8.5
79. Joker,Rate
80. Avengers: Endgame,8.5
81. Princess Mononoke,Rate
82. Good Will Hunting,8.5
83. Once Upon a Time in America,Rate
84. Your Name.,8.5
85. 3 Idiots,Rate
86. Singin' in the Rain,8.5
87. High and Low,Rate
88. Requiem for a Dream,8.5
89. Capernaum,Rate
90. Toy Story 3,8.5
91. Come and See,Rate
92. Star Wars: Episode VI - Return of the Jedi,8.6
93. Eterno resplandor de una mente sin recuerdos,Rate
94. 2001: A Space Odyssey,8.5
95. The Hunt,Rate
96. Reservoir Dogs,8.5
97. Lawrence of Arabia,Rate
98. Ikiru,8.5
99. Citizen Kane,Rate
100. M,8.5
101. North by Northwest,Rate
102. The Apartment,8.5
103. Vertigo,Rate
104. Amélie,8.5
105. Double Indemnity,Rate
106. Full Metal Jacket,8.5
107. Scarface,Rate
108. A Clockwork Orange,8.4
109. Incendies,Rate
110. Hamilton,8.4
111. Heat,Rate
112. Up,8.4
113. To Kill a Mockingbird,Rate
114. The Sting,8.4
115. A Separation,Rate
116. Indiana Jones and the Last Crusade,8.4
117. Metropolis,Rate
118. Die Hard,8.4
119. L.A. Confidential,Rate
120. Snatch,8.4
121. Ladri di biciclette,Rate
122. Taare Zameen Par,8.4
123. Taxi Driver,Rate
124. 1917,8.4
125. Downfall,Rate
126. Dangal,8.4
127. Top Gun: Maverick,Rate
128. For a Few Dollars More,8.4
129. Batman Begins,Rate
130. Some Like It Hot,8.4
131. The Kid,Rate
132. ذا فاذر,8.4
133. The Wolf of Wall Street,Rate
134. Green Book,8.4
135. All About Eve,Rate
136. Judgment at Nuremberg,8.3
137. The Truman Show,Rate
138. Ran,8.4
139. Casino,Rate
140. There Will Be Blood,8.4
141. Shutter Island,Rate
142. Pan's Labyrinth,8.3
143. Unforgiven,Rate
144. The Sixth Sense,8.4
145. Jurassic Park,Rate
146. A Beautiful Mind,8.4
147. The Treasure of the Sierra Madre,Rate
148. Yôjinbô,8.4
149. No Country for Old Men,Rate
150. Monty Python and the Holy Grail,8.3
151. Kill Bill: Vol. 1,Rate
152. The Great Escape,8.3
153. The Thing,Rate
154. Rashomon,8.4
155. Finding Nemo,Rate
156. The Elephant Man,8.4
157. Chinatown,Rate
158. Spider-Man: No Way Home,8.4
159. V for Vendetta,Rate
160. Gone with the Wind,8.3
161. Raging Bull,Rate
162. Dial M for Murder,8.3
163. Howl's Moving Castle,Rate
"164. Lock, Stock and Two Smoking Barrels",8.3
165. El secreto de sus ojos,Rate
166. Inside Out,8.4
167. Prisoners,Rate
"168. Three Billboards Outside Ebbing, Missouri",8.4
169. The Bridge on the River Kwai,Rate
170. Trainspotting,8.3
171. Fargo,Rate
172. Warrior,8.4
173. Gran Torino,Rate
174. Catch Me If You Can,8.3
175. My Neighbor Totoro,Rate
176. Million Dollar Baby,8.4
177. Klaus,Rate
178. Children of Heaven,8.3
179. Harry Potter and the Deathly Hallows: Part 2,Rate
180. Blade Runner,8.4
181. 12 Years a Slave,Rate
182. The Gold Rush,8.3
183. Before Sunrise,Rate
184. The Grand Budapest Hotel,8.3
185. Ben-Hur,Rate
186. Gone Girl,8.3
187. On the Waterfront,Rate
188. Barry Lyndon,8.3
189. Hacksaw Ridge,Rate
190. In the Name of the Father,8.3
191. The General,Rate
192. The Deer Hunter,8.3
193. Smultronstället,Rate
194. Salinui chueok,8.3
195. The Third Man,Rate
196. Le salaire de la peur,8.3
197. Sherlock Jr.,Rate
198. Wild Tales,8.3
199. Mad Max: Fury Road,Rate
200. Mr. Smith Goes to Washington,8.3
201. Dead Poets Society,Rate
"202. Monsters, Inc.",8.3
203. How to Train Your Dragon,Rate
204. Mary and Max.,8.3
205. Jaws,Rate
206. Det sjunde inseglet,8.3
207. Room,Rate
208. Tôkyô monogatari,8.3
209. The Big Lebowski,Rate
210. Ford v Ferrari,8.3
211. Ratatouille,Rate
212. La passion de Jeanne d'Arc,8.3
213. Hotel Rwanda,Rate
214. Rocky,8.3
215. Logan,Rate
216. Platoon,8.3
217. Spotlight,Rate
218. The Terminator,8.3
219. Jai Bhim,Rate
220. Antes del atardecer,8.3
221. Rush,Rate
222. Network,8.3
223. Stand by Me,Rate
224. The Best Years of Our Lives,8.3
225. The Wizard of Oz,Rate
226. Into the Wild,8.3
227. La haine,Rate
228. The Incredibles,8.3
229. The Exorcist,Rate
230. Pirates of the Caribbean: The Curse of the Black Pearl,8.2
231. To Be or Not to Be,Rate
232. Groundhog Day,8.3
233. Babam ve Oglum,Rate
234. The Grapes of Wrath,8.2
235. Hachi: A Dog's Tale,Rate
236. La battaglia di Algeri,8.2
237. Ah-ga-ssi,Rate
238. Amores Perros,8.2
239. Pather Panchali,Rate
240. Cool Hand Luke,8.3
241. Rebecca,Rate
242. The Sound of Music,8.3
243. It Happened One Night,Rate
244. Les quatre cents coups,8.2
245. The Iron Giant,Rate
246. Persona,8.2
247. The Help,Rate
248. Life of Brian,8.2
249. Aladdin,Rate
250. Dances with Wolves,8.3
